label,claim
1,stopped by smiley cookie to pick up some great cookies for the family along with rudy
1,we are accepting more legal immigrants than we ever have in the history of the united states
1,when georgia tightened its voter identification laws the state sent a van and photographer to the homes of people who needed photo ids and made them for free
1,i left the city with 43 million in the bank
1,the jobs bill includes president obamas tax on soup kitchens
1,says state rep patrick rose votes 90 percent with liberals backed the states largest tax increase proposed nearly 15 billion in government spending and supported obamastyle governmentrun health care system for texas
1,as a senator hillary clinton paid women less than the men in her office
1,says abortion clinics in oregon as in most states have no state oversight and are not held to basic health or safety standards
1,as a result of chris sununus vote against a planned parenthood contract nearly 3000 fewer women and families statewide accessed health care for birth control cancer screenings and annual exams
1,says merrick garland authored an opinion that resulted in the release of 17 guantanamo bay prisoners who were part of a group of violent islamist extremists the state department had designated as terrorists
1,says ive been proven right about hillary clintons radical call for open borders meaning anyone in the world can enter the united states without any limit at all
1,says ovide lamontagne wants to eliminate kindergarten
1,dewine took 19 million from big banks supported legislation that helped bernie madoff make millions and protected predatory lenders while families lost their homes
1,says he has nearly 200 delegates bound to support his candidacy at the republican national convention
1,birmingham ala is the cradle of the civil rights movement
1,the obama administration would impose on every catholic institution every jewish institution every protestant institution the obamacare standard of what you have to buy as insurance
1,faced with 1 million in campaign debt scott walker is unloading his campaign security costs onto the backs of wisconsin taxpayers
1,us sen lindsey graham says south carolina has a labor shortage and wants more immigration
1,in 2010 clinton said iran could enrich uranium in 2014 she said shes always argued against it
1,vern buchanan has been completely exonerated in a federal election commission action
1,ebola is incredibly contagious very transmissible and easy to catch
1,this ebola is not as bad as sarswas in 2003
1,says politifact validated and independently documented its criminal history claims about adan ballesteros
1,says donald trump bans disabled veterans from his high rise
1,president obama pledged to go through the budget line by line but on his watch nondefense spending has spiraled out of control increasing by 67 percent in the last year alone
1,because of the new health care law 17 million kids can no longer be denied for a preexisting condition
1,out of the total us military budget significantly less than 10 percent of that money is used to fight international terrorism
1,rep jim renaccis plan to end medicare also puts nursing home care for 3000 seniors in the district in immediate jeopardy
1,weve had examples like in yuma county where weve been able to stop 97 percent of the illegal immigration flow and those programs they abolish
1,president barack obama has the power to stop deportation for all undocumented immigrants in this country
1,proof of citizenship isnt necessary before you register to vote in florida
1,earlier this year the head of the congressional budget office testified before congress that implementation of obamacare would cost 800000 jobs
1,workers in the united states are making less than they were almost 20 years ago and yet they are working harder
1,says 25 percent of us muslims agreed that violence against americans here in the united states is justified as a part of the global jihad
1,obamacare could cause 20 million people to lose their current coverage
1,under ryan planthose 54 and younger would receive the same kind of healthcare options now enjoyed by members of congress
1,bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on austins streets
1,says mark pryor continues to insist that obamacare is an amazing success
1,during his 18year senate career russ feingold supported judges who voted to deny your individual second amendment right he promises to protect those rights but thats not what his record shows
1,milwaukee mayor tom barrett has held the line on property taxes
1,obamacarecaused paperwork will annually absorb 190 million hours or moreand mount rushmore could be built 1547 times over with the paperwork
1,the money the clinton foundation took from from foreign governments while hillary clinton was secretary of state is clearly illegal the constitution says you cant take this stuff
1,says the affordable care act was a federal takeover of the student loan industry and profits on the loans go to help pay for the health care law
1,i have little doubt that weve moved into recession at this point
1,milwaukee county taxpayers paid 370000 to settle a lawsuit over a decision by sheriff david a clarke jr to use untrained corrections officers rather than deputies to patrol the lakefront
1,jason carter supports using georgia tax dollars to promote obamacare
1,rhode island has invested less in tourism economic development and economic development personnel than four nearby states
1,tom barrett voted for the largest tax increase in history raising taxes on gas and social security
1,says jeb bush extended early voting after seeing long lines
1,says that 93 percent of the time john boccieri voted with nancy pelosi
1,says democratic challenger russ feingold was the deciding vote on obamacare
1,obamas plan to raise the capital gains tax hurts the middle class
1,newt gingrichs presidential campaign has exactly the same challenges as ronald reagans successful 1980 bid
1,says milwaukee county elected officials drive around in luxury cars on your dime
1,the state government workforce grew when tim kaine was governor
1,says president barack obama attacked potential terrorist targets in syria in the middle of the night to minimize terrorist casualties
1,elena kagan violated the law of the united states at various points with her opposition to military recruiters
1,the great recession emerged in large part because of tax policies that slashed taxes on the wealthy failed to invest in the middle class took their eyes off of wall street and created a perfect storm
1,in fy 2014 planned parenthood performed 327653 abortions while receiving 528 million from taxpayers in violation of the hyde amendment
1,says she has quadrupled agents to secure our border
1,big banks have invested over 300000 in joe heck and heck has sponsored 44 million dollars in tax breaks for banks
1,between 1990 and 2013 the maternal mortality rate for women in the us has increased by 136
1,a bill to aid state and local governments is fully paidfor by closing costly corporate tax loopholes
1,jeff greene is the king of the undercover credit default swap that brought about the destruction of our economy that we have right now
1,when i was mayor of south pasadena we actually reduced the property taxes we collected
1,during the benghazi attack a standdown order was given and our troops were told to change their clothes four times
1,when susan rice spoke about benghazi on sunday news shows she said that alqaida might be involved or other alqaida affiliates might be involved or nonalqaida libyan extremists which i think demonstrates that there was no effort to play that down
1,says cuts to medicare affect people who have already paid in we paid for it
1,these steps a middleclass tax cut national health care plan foreclosure prevention fund social security fix and more are all paid for
1,earth has not warmed for the last 17 years
1,regarding her state department email practices my predecessors did the same thing
1,romney signed governmentmandated health care with taxpayerfunded abortions
